IDEmbarcacao;Nome da Embarcação;Ano da Construção da Embarcação;Codigo do Tipo de Material do Casco;Tipo de Material do Casco;Codigo do Tipo da Embarcação;Tipo de Embarcação;Codigo do País Atual;Codigo do País de Origem;Boca;Calado;Comprimento;TPB
12833;PONTA GROSSA;1990;1;Aço;39;BALSA;BR;BR;12,5;2,15;53;1000
12832;DONA MÔNICA;1996;1;Aço;39;BALSA;BR;BR;11;2,46;46,5;938,25
11018;BERTOLINI LXXXI (81);2005;1;Aço;39;BALSA;BR;BR;12;3,94;62;2514,5
12835;MELISSA NOBREGA;2004;1;Aço;39;BALSA;BR;BR;15,1;3,1;65;2232
10317;MARIANNA;2005;1;Aço;39;BALSA;BR;BR;7;0,6;33;42,1
11013;BERTOLINI LXXV (75);2004;1;Aço;39;BALSA;BR;BR;18,5;2,35;31;1100
10998;BERTOLINI LVII (57);2005;1;Aço;39;BALSA;BR;BR;12;;62;2378
11010;BERTOLINI LXIX (69);2005;1;Aço;39;BALSA;BR;BR;12;3,94;62;2520
11020;BERTOLINI LXXXV (85);2005;1;Aço;39;BALSA;BR;BR;12;3,94;62;2514,5
10999;BERTOLINI LIX (59);2004;1;Aço;39;BALSA;BR;BR;12;;62;2378,6
11008;BEHIDRO 027 (EX-BERTOLINI LXV (65));2004;1;Aço;39;BALSA;BR;BR;12;4;62;2378
11021;BERTOLINI LXXXVII (87);2005;1;Aço;39;BALSA;BR;BR;12;4;62;2520
11019;BERTOLINI LXXXIII (83);2004;1;Aço;39;BALSA;BR;BR;18,5;2,2;75;1486
11012;BERTOLINI LXXIII (73);2004;1;Aço;39;BALSA;BR;BR;12;3,94;62;2520
11023;BERTOLINI LXXXIX (89);2005;1;Aço;39;BALSA;BR;BR;12;4;62;2520
11011;BEHIDRO 031 (EX-BERTOLINI LXXI (71));2005;1;Aço;39;BALSA;BR;BR;12;3,94;62;2520
12827;MARBILA VI;1994;1;Aço;39;BALSA;BR;BR;9,5;1,73;38;434,9
11024;BERTOLINI XCI (91);2005;1;Aço;39;BALSA;BR;BR;12;;62;2378
12927;ATLANTIS XIV;2005;1;Aço;39;BALSA;BR;BR;16,16;4,1;75;3595,7
12666;MARTIN LEME XI;2000;1;Aço;39;BALSA;BR;BR;12,8;1,65;28,5;450,26
12763;SC 55 (EX - PAULINHA);1987;1;Aço;39;BALSA;BR;BR;12;1,92;46;796
12668;MULICEIRO II;1998;1;Aço;39;BALSA;BR;BR;8,24;2,07;30,4;384,39
12796;AMAZONGÁS VI;2003;1;Aço;39;BALSA;BR;BR;13;1,5;57;362
12809;BOGOTÁ;1974;1;Aço;39;BALSA;BR;BR;8,81;;36,01;300
12844;PRINCESA DO URUCU;1996;1;Aço;39;BALSA;BR;BR;5;1,5;18,5;30,8
13018;PIPES 48;1992;1;Aço;39;BALSA;BR;BR;10,5;0,8;30,72;160,8
13019;PIPES 29;1986;1;Aço;39;BALSA;BR;BR;8;0,8;23,55;68
13003;PIPES 72;1996;1;Aço;39;BALSA;BR;BR;2,8;0,5;14;6,9
13009;PIPES 110;2000;1;Aço;39;BALSA;BR;BR;13;1,1;40;311,1
12802;MANOEL PASSOS;1979;1;Aço;39;BALSA;BR;BR;13,04;;53;1000
7724;LIVIA;1999;1;Aço;39;BALSA;BR;BR;20,5;2,3;75;2100
12452;U - 7;1957;1;Aço;39;BALSA;BR;BR;12,19;1,62;59,43;1800
12829;MARBILA XI;1997;1;Aço;39;BALSA;BR;BR;9,5;1,6;40;414,54
12969;DAVID SALGADO I;2001;1;Aço;39;BALSA;BR;BR;8,4;1;37,02;300
13017;PIPES 120;2001;1;Aço;39;BALSA;BR;BR;13;1;53;395,6
12830;MARBILA XIII;1997;1;Aço;39;BALSA;BR;BR;9,5;1,6;40;514,5
12831;MARBILA XVI;1997;1;Aço;39;BALSA;BR;BR;9,5;1,61;40;414,54
